                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3959,                 2.7954,                 1.5006,                0.43824,                0.34891,                0.32897,                0.13935,                 1.9264,                 2.6357,                 1.8744,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2941,                 1.8558,                 1.4507,                0.63274,                0.44488,                0.48995,                0.23702,                 1.7798,                 2.0712,                 1.8198,             0.00045105,             0.00045105,             0.00045105
                      3,                 1.2611,                 1.6889,                 1.4092,                0.49913,                0.47926,                0.41626,                0.17644,                 1.9877,                 2.5424,                 2.0173,               0.000642,               0.000642,               0.000642
                      4,                  1.225,                 1.5863,                 1.3878,                0.56089,                0.51572,                0.52656,                0.24867,                 1.8212,                 1.9254,                 1.8574,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.2016,                  1.527,                 1.3643,                0.66466,                0.49479,                0.53141,                0.24387,                 1.8196,                 1.8865,                 1.8539,             0.00060797,             0.00060797,             0.00060797
                      6,                 1.1877,                 1.4469,                 1.3487,                0.74541,                 0.5127,                 0.5939,                0.27686,                 1.8313,                 1.6827,                 1.8527,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.1488,                 1.3732,                 1.3234,                0.70921,                0.50721,                0.56612,                 0.2736,                 1.7893,                 1.7111,                 1.8057,             0.00053728,             0.00053728,             0.00053728
                      8,                 1.1367,                 1.3413,                 1.3159,                0.75156,                0.54824,                0.60671,                0.26993,                 1.8704,                  1.628,                 1.8291,             0.00050194,             0.00050194,             0.00050194
                      9,                 1.1277,                 1.2828,                 1.2982,                0.73438,                0.59335,                0.64247,                 0.3063,                 1.8544,                 1.5612,                 1.7961,              0.0004666,              0.0004666,              0.0004666
                     10,                    1.1,                 1.2412,                 1.2816,                0.72385,                0.59889,                0.65039,                0.31444,                 1.7394,                 1.4495,                  1.734,             0.00043126,             0.00043126,             0.00043126
                     11,                 1.1435,                 1.2017,                 1.3144,                0.76198,                0.60274,                0.66355,                0.34805,                 1.6663,                 1.4144,                  1.673,             0.00039591,             0.00039591,             0.00039591
                     12,                 1.1155,                 1.1319,                 1.2938,                0.80026,                0.59071,                0.66186,                0.34245,                 1.6736,                 1.3649,                 1.6711,             0.00036057,             0.00036057,             0.00036057
                     13,                 1.0913,                  1.083,                 1.2759,                 0.8216,                0.60774,                0.67815,                0.35487,                 1.6568,                 1.2636,                 1.6548,             0.00032523,             0.00032523,             0.00032523
                     14,                 1.0805,                 1.0477,                 1.2672,                0.85598,                0.62588,                0.70271,                0.37054,                 1.6355,                 1.2558,                 1.6292,             0.00028988,             0.00028988,             0.00028988
                     15,                 1.0593,                 1.0114,                  1.254,                0.84396,                0.61612,                0.70566,                0.38347,                 1.6125,                 1.2201,                 1.6238,             0.00025454,             0.00025454,             0.00025454
                     16,                 1.0481,                  0.985,                 1.2414,                0.83711,                0.61067,                0.69488,                 0.3828,                 1.5825,                  1.211,                 1.5928,              0.0002192,              0.0002192,              0.0002192
                     17,                  1.024,                0.94766,                 1.2286,                0.80233,                0.63366,                0.70266,                0.38905,                 1.5804,                 1.1647,                 1.5794,             0.00018385,             0.00018385,             0.00018385
                     18,                 1.0068,                0.92377,                 1.2153,                0.82519,                 0.6508,                0.72338,                0.39975,                 1.5491,                 1.1457,                 1.5531,             0.00014851,             0.00014851,             0.00014851
                     19,                0.99292,                 0.8973,                 1.2026,                0.83151,                0.64519,                0.72034,                0.39986,                 1.5849,                 1.1047,                 1.5847,             0.00011317,             0.00011317,             0.00011317
                     20,                0.97862,                0.88021,                 1.1905,                0.84174,                0.66634,                0.72954,                0.41472,                 1.5127,                 1.0867,                 1.5317,             7.7826e-05,             7.7826e-05,             7.7826e-05
